time, N, D, A, C
528 , 14836 , 407 , 119360 , 882
529 , 14842 , 407 , 119350 , 885
530 , 14840 , 408 , 119342 , 892
531 , 14842 , 409 , 119342 , 889
532 , 14845 , 407 , 119343 , 884
533 , 14851 , 408 , 119337 , 882
534 , 14847 , 409 , 119339 , 882
535 , 14849 , 407 , 119338 , 883
536 , 14848 , 410 , 119338 , 880
537 , 14851 , 410 , 119337 , 877
538 , 14848 , 412 , 119327 , 889
539 , 14856 , 411 , 119324 , 884
540 , 14859 , 413 , 119312 , 888
541 , 14856 , 413 , 119307 , 893
542 , 14854 , 414 , 119307 , 894
543 , 14857 , 410 , 119303 , 896
544 , 14856 , 413 , 119299 , 900
545 , 14868 , 412 , 119296 , 891
546 , 14867 , 414 , 119292 , 894
547 , 14865 , 418 , 119291 , 892
548 , 14872 , 421 , 119282 , 891
549 , 14884 , 417 , 119273 , 887
550 , 14881 , 418 , 119261 , 901
551 , 14874 , 420 , 119263 , 905
552 , 14876 , 419 , 119251 , 915
553 , 14875 , 416 , 119243 , 924
554 , 14871 , 418 , 119242 , 927
555 , 14865 , 415 , 119239 , 937
556 , 14865 , 416 , 119238 , 938
557 , 14854 , 417 , 119242 , 941
558 , 14869 , 413 , 119238 , 933
559 , 14858 , 417 , 119242 , 939
560 , 14858 , 418 , 119249 , 931
561 , 14873 , 415 , 119237 , 931
562 , 14852 , 417 , 119238 , 945
563 , 14825 , 420 , 119252 , 964
564 , 14825 , 417 , 119258 , 968
565 , 14810 , 423 , 119269 , 977
566 , 14818 , 417 , 119276 , 978
567 , 14808 , 420 , 119290 , 973
568 , 14820 , 418 , 119302 , 953
569 , 14825 , 420 , 119306 , 942
570 , 14834 , 426 , 119316 , 921
571 , 14853 , 424 , 119313 , 907
572 , 14867 , 420 , 119312 , 889
573 , 14879 , 420 , 119301 , 882
574 , 14885 , 420 , 119287 , 886
575 , 14886 , 426 , 119274 , 889
576 , 14895 , 424 , 119257 , 891
577 , 14896 , 421 , 119254 , 887
578 , 14903 , 423 , 119244 , 888
579 , 14909 , 426 , 119230 , 892
580 , 14916 , 426 , 119224 , 885
581 , 14925 , 426 , 119216 , 880
582 , 14926 , 433 , 119200 , 885
583 , 14936 , 431 , 119191 , 882
584 , 14944 , 436 , 119174 , 882
585 , 14968 , 428 , 119142 , 890
586 , 14974 , 435 , 119117 , 896
587 , 14977 , 432 , 119093 , 908
588 , 14976 , 432 , 119081 , 918
589 , 14961 , 434 , 119071 , 934
590 , 14959 , 433 , 119075 , 930
591 , 14957 , 435 , 119050 , 955
592 , 14962 , 428 , 119034 , 974
593 , 14939 , 434 , 119028 , 1000
594 , 14951 , 426 , 119010 , 1016
595 , 14926 , 427 , 119019 , 1032
596 , 14925 , 424 , 119020 , 1040
597 , 14909 , 423 , 119030 , 1047
598 , 14890 , 421 , 119049 , 1054
599 , 14886 , 422 , 119081 , 1029
600 , 14881 , 423 , 119121 , 995
601 , 14889 , 422 , 119164 , 952
602 , 14883 , 422 , 119197 , 928
603 , 14890 , 424 , 119206 , 915
604 , 14896 , 427 , 119205 , 905
605 , 14891 , 423 , 119217 , 906
606 , 14902 , 421 , 119209 , 905
607 , 14895 , 425 , 119208 , 910
608 , 14893 , 426 , 119205 , 913
609 , 14898 , 430 , 119187 , 922
610 , 14889 , 434 , 119178 , 941
611 , 14889 , 431 , 119168 , 952
612 , 14886 , 426 , 119172 , 950
613 , 14887 , 428 , 119177 , 942
614 , 14894 , 426 , 119193 , 922
615 , 14910 , 423 , 119199 , 901
616 , 14906 , 421 , 119195 , 906
617 , 14915 , 415 , 119192 , 907
618 , 14895 , 416 , 119198 , 918
619 , 14891 , 416 , 119201 , 917
620 , 14873 , 415 , 119204 , 933
621 , 14880 , 413 , 119210 , 921
622 , 14877 , 411 , 119218 , 915
623 , 14881 , 408 , 119219 , 918
624 , 14863 , 418 , 119224 , 919
625 , 14873 , 413 , 119217 , 921
626 , 14873 , 414 , 119219 , 915
627 , 14878 , 412 , 119209 , 920
628 , 14878 , 414 , 119200 , 925
629 , 14871 , 415 , 119199 , 932
630 , 14856 , 419 , 119196 , 947
631 , 14861 , 417 , 119189 , 954
632 , 14862 , 416 , 119195 , 949
633 , 14868 , 421 , 119190 , 942
634 , 14870 , 422 , 119194 , 934
635 , 14876 , 420 , 119191 , 929
636 , 14891 , 415 , 119191 , 916
637 , 14876 , 423 , 119190 , 926
638 , 14894 , 421 , 119186 , 913
639 , 14889 , 428 , 119182 , 915
640 , 14905 , 426 , 119174 , 912
641 , 14907 , 423 , 119159 , 922
642 , 14906 , 424 , 119152 , 931
643 , 14908 , 423 , 119136 , 940
644 , 14905 , 420 , 119127 , 952
645 , 14886 , 424 , 119138 , 955
646 , 14895 , 422 , 119141 , 946
647 , 14902 , 421 , 119140 , 941
648 , 14907 , 428 , 119164 , 909
649 , 14907 , 430 , 119177 , 899
650 , 14934 , 429 , 119158 , 896
651 , 14932 , 431 , 119147 , 899
652 , 14938 , 433 , 119137 , 900
653 , 14961 , 425 , 119114 , 902
654 , 14946 , 434 , 119110 , 907
655 , 14956 , 435 , 119101 , 904
656 , 14970 , 428 , 119089 , 899
657 , 14977 , 431 , 119080 , 893
658 , 14984 , 428 , 119059 , 902
659 , 14983 , 429 , 119050 , 905
660 , 14972 , 429 , 119050 , 911
661 , 14985 , 431 , 119033 , 912
662 , 14976 , 427 , 119024 , 925
663 , 14982 , 423 , 119013 , 932
664 , 14982 , 424 , 119004 , 938
665 , 14971 , 430 , 119000 , 945
666 , 14978 , 430 , 118994 , 942
667 , 14973 , 430 , 118993 , 946
668 , 14956 , 431 , 118992 , 968
669 , 14958 , 423 , 119001 , 964
670 , 14932 , 422 , 119010 , 986
671 , 14935 , 419 , 119011 , 991
672 , 14917 , 423 , 119019 , 1002
673 , 14910 , 422 , 119022 , 1009
674 , 14902 , 420 , 119027 , 1014
675 , 14892 , 417 , 119036 , 1024
676 , 14871 , 420 , 119055 , 1029
677 , 14875 , 412 , 119073 , 1026
678 , 14845 , 414 , 119092 , 1045
679 , 14827 , 415 , 119103 , 1066
680 , 14819 , 415 , 119114 , 1075
681 , 14808 , 414 , 119125 , 1081
682 , 14813 , 411 , 119158 , 1052
683 , 14799 , 410 , 119190 , 1035
684 , 14791 , 410 , 119235 , 1003
685 , 14784 , 412 , 119283 , 968
686 , 14800 , 407 , 119293 , 947
687 , 14790 , 409 , 119307 , 944
688 , 14792 , 407 , 119315 , 942
689 , 14787 , 411 , 119327 , 935
690 , 14790 , 410 , 119329 , 935
691 , 14789 , 412 , 119330 , 934
692 , 14786 , 414 , 119340 , 924
